Elapsed Time (s), Rod voltage (V), Rod Current (A), Rod Power (W)
478.7580,5.0038,284.7022,1424.5864

479.7580,5.0035,284.7033,1424.5146

480.7580,5.0036,284.7041,1424.5506

481.7580,5.0033,284.7048,1424.4545

482.7580,5.0037,284.7055,1424.5688

483.7580,5.0031,284.7060,1424.4031

484.7580,5.0031,284.7078,1424.4312

485.7580,5.0029,284.7071,1424.3499

486.7580,5.0031,284.7091,1424.4401

487.7590,5.0030,284.7102,1424.4178

488.7580,5.0027,284.7101,1424.3177

489.7580,5.0030,284.7106,1424.4113

490.7580,5.0026,284.7118,1424.2936

491.7580,5.0028,284.7126,1424.3660

492.7590,5.0027,284.7134,1424.3312

493.7590,5.0027,284.7146,1424.3548

494.7580,5.0026,284.7150,1424.3012

495.7580,5.0021,284.7164,1424.1827

496.7590,5.0024,284.7179,1424.2753

497.7580,5.0025,284.7168,1424.2846

498.7580,5.0018,284.7197,1424.1099

499.7580,5.0022,284.7200,1424.2399

500.7580,5.0021,284.7216,1424.2100

501.7590,5.0019,284.7211,1424.1500

502.7580,5.0020,284.7224,1424.1749

503.7580,5.0022,284.7239,1424.2380

504.7580,5.0018,284.7245,1424.1315

505.7580,5.0020,284.7253,1424.1968

506.7580,5.0018,284.7258,1424.1375

507.7580,5.0014,284.7291,1424.0450

508.7580,5.0014,284.7300,1424.0620

509.7580,5.0008,284.7301,1423.8772

510.7580,5.0015,284.7319,1424.0754

511.7580,5.0008,284.7331,1423.9051

512.7580,5.0005,284.7341,1423.8243

513.7580,5.0011,284.7348,1423.9810

514.7580,5.0008,284.7348,1423.8934

515.7580,5.0008,284.7363,1423.8983

516.7580,5.0006,284.7364,1423.8589

517.7580,5.0007,284.7387,1423.9008

518.7580,5.0003,284.7401,1423.7894

519.7580,5.0007,284.7405,1423.9074

520.7580,4.9999,284.7407,1423.6782

521.7580,5.0003,284.7435,1423.8119

522.7580,5.0004,284.7440,1423.8347

523.7580,4.9997,284.7436,1423.6340

524.7580,5.0001,284.7451,1423.7652

525.7580,5.0000,284.7472,1423.7441

526.7580,4.9997,284.7472,1423.6367

527.7580,4.9999,284.7485,1423.7134

528.7580,4.9998,284.7490,1423.6818

529.7580,5.0004,284.7508,1423.8709

530.7580,4.9995,284.7504,1423.6201

531.7590,4.9996,284.7522,1423.6384

532.7580,4.9995,284.7537,1423.6255

533.7580,4.9993,284.7551,1423.5676

534.7580,4.9992,284.7555,1423.5373

535.7580,4.9995,284.7562,1423.6335

536.7580,4.9990,284.7574,1423.5021

537.7580,4.9992,284.7582,1423.5762

538.7580,4.9990,284.7577,1423.5090

539.7580,4.9993,284.7600,1423.5936

540.7580,4.9991,284.7610,1423.5507

541.7580,4.9992,284.7616,1423.5896

542.7580,4.9991,284.7614,1423.5480

543.7590,4.9988,284.7628,1423.4719

544.7580,4.9990,284.7645,1423.5350

545.7590,4.9987,284.7646,1423.4607

546.7580,4.9987,284.7652,1423.4663

