Elapsed Time (s),T1 (deg C),T2 (deg C),T3 (deg C),T4 (deg C),T5 (deg C),T6 (deg C),T7 (deg C),T8 (deg C),Main Loop Avg Temp (deg C),HX Avg Temp (deg C),Overall Avg Temp (deg C)
177.2840,29.3465,28.0593,26.7029,25.6397,24.3526,29.3413,24.9021,29.5572,26.8202,29.4493,27.2377

178.2840,29.3266,28.0716,26.7080,25.6468,24.3662,29.3336,24.8714,29.5458,26.8238,29.4397,27.2338

179.2840,29.3412,28.0597,26.7324,25.6334,24.3743,29.3153,24.8613,29.5430,26.8282,29.4292,27.2326

180.2840,29.3031,28.0685,26.7200,25.6465,24.3908,29.3370,24.8810,29.5586,26.8258,29.4478,27.2382

181.2840,29.3491,28.0655,26.7269,25.6303,24.3689,29.3190,24.8671,29.5466,26.8281,29.4328,27.2342

182.2840,29.3225,28.0696,26.7249,25.6519,24.3909,29.3272,24.8849,29.5559,26.8320,29.4415,27.2410

183.2840,29.3173,28.0497,26.7413,25.6461,24.3734,29.3262,24.8768,29.5294,26.8255,29.4278,27.2325

184.2840,29.3302,28.0896,26.7516,25.6399,24.4105,29.3138,24.8824,29.5410,26.8444,29.4274,27.2449

185.2840,29.3257,28.0692,26.7155,25.6222,24.4027,29.3078,24.8647,29.5581,26.8271,29.4330,27.2332

186.2840,29.3344,28.0741,26.7351,25.6333,24.3864,29.3326,24.8749,29.5537,26.8327,29.4431,27.2406

187.2850,29.3132,28.0748,26.7164,25.6269,24.3943,29.3047,24.8798,29.5484,26.8251,29.4266,27.2323

188.2840,29.3216,28.0611,26.7235,25.6411,24.3777,29.3112,24.8770,29.5535,26.8250,29.4324,27.2333

189.2850,29.3092,28.0611,26.7135,25.6500,24.3747,29.3106,24.8537,29.5656,26.8217,29.4381,27.2298

190.2840,29.3305,28.0503,26.7334,25.6293,24.3735,29.3239,24.8680,29.5337,26.8234,29.4288,27.2303

191.2840,29.3438,28.0850,26.7437,25.6409,24.3902,29.3236,24.8711,29.5485,26.8407,29.4360,27.2434

192.2850,29.3143,28.0807,26.7243,25.6447,24.3968,29.3199,24.8692,29.5424,26.8322,29.4312,27.2365

193.2850,29.3047,28.0858,26.7218,25.6498,24.3820,29.3212,24.8786,29.5484,26.8288,29.4348,27.2365

194.2850,29.3331,28.0865,26.7295,25.6419,24.3770,29.3359,24.8730,29.5142,26.8336,29.4251,27.2364

195.2850,29.3214,28.0878,26.7441,25.6272,24.3804,29.3186,24.8711,29.5374,26.8322,29.4280,27.2360

196.2840,29.3370,28.0695,26.7234,25.6433,24.3851,29.3026,24.8825,29.5298,26.8317,29.4162,27.2341

197.2840,29.3284,28.0807,26.7327,25.6437,24.3912,29.3030,24.8781,29.5270,26.8353,29.4150,27.2356

198.2840,29.3380,28.0680,26.7299,25.6370,24.3715,29.3300,24.8743,29.5304,26.8289,29.4302,27.2349

199.2840,29.3302,28.0660,26.7373,25.6412,24.3873,29.3340,24.8610,29.5386,26.8324,29.4363,27.2369

200.2850,29.3215,28.0610,26.7300,25.6414,24.4051,29.2956,24.8569,29.5210,26.8318,29.4083,27.2291

